metric,mean,std,max,min
loss,0.3974,0.0622,0.4952,0.3267
accuracy,0.8932,0.0217,0.9248,0.8471
recall,0.8932,0.0217,0.9248,0.8471
precision,0.8987,0.0172,0.9277,0.8667
f1,0.8921,0.0226,0.9247,0.8416
1,0.8747,0.8835,0.8747,0.8749
2,0.8872,0.8918,0.8872,0.8857
3,0.9248,0.9277,0.9248,0.9247
4,0.9148,0.9155,0.9148,0.9141
5,0.8822,0.8858,0.8822,0.8822
6,0.8897,0.8981,0.8897,0.8900
7,0.9173,0.9174,0.9173,0.9157
8,0.8947,0.8993,0.8947,0.8946
9,0.8997,0.9015,0.8997,0.8971
10,0.8471,0.8667,0.8471,0.8416
