metric,mean,std,max,min
loss,0.6707,0.0825,0.8411,0.5446
accuracy,0.7775,0.0275,0.8254,0.7333
recall,0.7775,0.0275,0.8254,0.7333
precision,0.7842,0.0258,0.8287,0.7384
f1,0.7765,0.0271,0.8247,0.7352
1,0.7810,0.7924,0.7810,0.7786
2,0.7524,0.7675,0.7524,0.7521
3,0.7651,0.7710,0.7651,0.7645
4,0.7873,0.7947,0.7873,0.7826
5,0.7619,0.7729,0.7619,0.7615
6,0.7556,0.7597,0.7556,0.7534
7,0.7333,0.7384,0.7333,0.7352
8,0.8032,0.8035,0.8032,0.8026
9,0.8095,0.8135,0.8095,0.8093
10,0.8254,0.8287,0.8254,0.8247
